normalized_key,suggested_canonical
times of india,The Times of India
the times of india,The Times of India
hindustan times,Hindustan Times
the hindustan times,Hindustan Times
indian express,The Indian Express
the indian express,The Indian Express
dainik jagran,Dainik Jagran
amar ujala,Amar Ujala
divya bhaskar,Divya Bhaskar
govt of up,Government of Uttar Pradesh
govt of u.p,Government of Uttar Pradesh
government of up,Government of Uttar Pradesh
govt of india,Government of India
government of india,Government of India
state bank of india,State Bank of India
sbi,State Bank of India
police station,Police Station
sho,SHO
station house officer,SHO
editor,Editor
the editor,Editor
chief editor,Chief Editor
editor in chief,Chief Editor
sub editor,Sub Editor
resident editor,Resident Editor
managing editor,Managing Editor
district magistrate,District Magistrate
dm,District Magistrate
superintendent of police,Superintendent of Police
sp,Superintendent of Police
bjp,BJP
bhartiya janta party,BJP
congress,Congress
inc,Congress
indian national congress,Congress
mla,MLA
member of legislative assembly,MLA
mp,MP
member of parliament,MP
advocate,Advocate
lawyer,Advocate
principal,Principal
headmaster,Headmaster
secretary,Secretary
general secretary,General Secretary
president,President
vice president,Vice President
chairman,Chairman
director,Director
managing director,Managing Director
proprietor,Proprietor
owner,Owner
manager,Manager
commissioner,Commissioner
deputy commissioner,Deputy Commissioner
collector,Collector
judge,Judge
magistrate,Magistrate
court,Court
high court,High Court
supreme court,Supreme Court
press council of india,Press Council of India
pci,Press Council of India
ministry of information and broadcasting,Ministry of Information and Broadcasting
mib,Ministry of Information and Broadcasting
ministry of home affairs,Ministry of Home Affairs
mha,Ministry of Home Affairs
railway,Railway
indian railways,Indian Railways
army,Army
indian army,Indian Army
navy,Navy
indian navy,Indian Navy
air force,Air Force
indian air force,Indian Air Force
doctor,Doctor
medical officer,Medical Officer
cmo,Chief Medical Officer
chief medical officer,Chief Medical Officer
civil surgeon,Civil Surgeon
hospital,Hospital
bank manager,Bank Manager
branch manager,Branch Manager
teacher,Teacher
professor,Professor
lecturer,Lecturer
student,Student
journalist,Journalist
reporter,Reporter
correspondent,Correspondent
press reporter,Press Reporter
news channel,News Channel
newspaper,Newspaper
tv channel,TV Channel
ngo,NGO
social worker,Social Worker
activist,Activist
rti activist,RTI Activist
human rights activist,Human Rights Activist
union,Union
association,Association
society,Society
trust,Trust
committee,Committee
board,Board
corporation,Corporation
municipality,Municipality
municipal corporation,Municipal Corporation
panchayat,Panchayat
gram panchayat,Gram Panchayat
sarpanch,Sarpanch
pradhan,Pradhan
mayor,Mayor
councillor,Councillor
ward member,Ward Member
block development officer,Block Development Officer
bdo,Block Development Officer
tehsildar,Tehsildar
patwari,Patwari
lekhpal,Lekhpal
constable,Constable
head constable,Head Constable
sub inspector,Sub Inspector
inspector,Inspector
dsp,Deputy Superintendent of Police
deputy superintendent of police,Deputy Superintendent of Police
ig,Inspector General of Police
inspector general of police,Inspector General of Police
dig,Deputy Inspector General of Police
deputy inspector general of police,Deputy Inspector General of Police
dgp,Director General of Police
director general of police,Director General of Police
ias,IAS
ips,IPS
ifs,IFS
irs,IRS
pcs,PCS
pps,PPS
hcs,HCS
hps,HPS
ras,RAS
rps,RPS
uppcs,UPPCS
uppsc,UPPSC
mppsc,MPPSC
bpsc,BPSC
jpsc,JPSC
gpsc,GPSC
kpsc,KPSC
tnpsc,TNPSC
appsc,APPSC
tspsc,TSPSC
wbpsc,WBPSC
opsc,OPSC
mpsc,MPSC
ppsc,PPSC
hpsc,HPSC
jkpsc,JKPSC
npsc,NPSC
mpsc,MPSC
tpsc,TPSC
spsc,SPSC
upsc,UPSC
ssc,SSC
ibps,IBPS
rrb,RRB
lic,LIC
gic,GIC
bsnl,BSNL
mtnl,MTNL
ongc,ONGC
ioc,IOC
bpcl,BPCL
hpcl,HPCL
gail,GAIL
ntpc,NTPC
bhel,BHEL
sail,SAIL
cil,CIL
hal,HAL
drdo,DRDO
isro,ISRO
barc,BARC
csir,CSIR
icmr,ICMR
icar,ICAR
ugc,UGC
aicte,AICTE
cbse,CBSE
icse,ICSE
ncert,NCERT
ignou,IGNOU
du,Delhi University
jnu,Jawaharlal Nehru University
bhu,Banaras Hindu University
amu,Aligarh Muslim University
jmi,Jamia Millia Islamia
iit,IIT
iim,IIM
aiims,AIIMS
nit,NIT
iiit,IIIT
nift,NIFT
nld,NLD
nls,NLS
nlu,NLU
nlud,NLUD
nluj,NLUJ
nlub,NLUB
nlua,NLUA
nlut,NLUT
nlur,NLUR
nlup,NLUP
nlus,NLUS
nluk,NLUK
nlum,NLUM
nlun,NLUN
nluc,NLUC
nlug,NLUG
nluh,NLUH
nlui,NLUI
nluz,NLUZ
