table_name,affiliation,type
against," Additional Director, Directorate General of Health Services",Complainant
against," Associate VicePresidnet (Sales Co-Ordinator), Electro Steel Castings Limited (ECL)",Complainant
against, Deputy Engineer of Public Work Division,Complainant
against," Deputy Secretary, Malnad Area Development Board",Complainant
against," Director, Centre for Policy Research",Complainant
against," Editor, Prabhat Khabar",Complainant
against," Editor, Prabhat Khabar",Complainant
against," Ex-Dean, Faculty of Management Studies",Complainant
against," GM, Punjab National Bank",Complainant
against," Hony. Secretary, Indian Medical Association",Complainant
against," IAS, Dy. Commissioner & District Magistrate",Complainant
against, Indian National Social Action Forum (INSAF),Complainant
against, Jr. Engineer of Public Work Division,Complainant
against," Managing Director, Shashi Cables Ltd.",Complainant
against," Managing Director, Shashi Cables Ltd.",Complainant
against," Managing Director, Shashi Cables Ltd.",Complainant
against, Owner and Medical Practitioner at Manva Sewa Hospital and Sethi Child Care Hospital,Complainant
against, Prakriti an NGO,Complainant
against," President, Ksthetriya Gramin Bank",Complainant
against," President, Sant Attar Singh Ji Vidya Parsar and Welfare Committee",Complainant
against," Press Secretary, BJP",Complainant
against," Press Secretary, BJP",Complainant
against," Press Secretary, BJP",Complainant
against," Press Secretary, BJP",Complainant
against," Press Secretary, BJP",Complainant
against," Regional Manager, A.B.C, Rohtak",Complainant
against," Regional Manager, A.B.C, Rohtak",Complainant
against, Regional Passport Officer,Complainant
against, Registrar of Cooperative Society,Complainant
against," Registrar, Jamia Urdu",Complainant
against," Secretary, Shaheed Chandrabhan Smarak Samiti, Mawana",Complainant
against," Superintendent of Police (City),",Complainant
against, Zilla Samajwadi Party,Complainant
against,Aawas Vikas Colony,Complainant
against,Additional Project Manager,Complainant
against,"Additional Secretary, Govt. of Uttarakhand",Complainant
against,"Addl. Resident Commissioner, Telangana Bhawan",Complainant
against,"Admn. Bn. Cdr., The Bihar Regimental Centre Danapur Cantt",Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate,Complainant
against,Advocate and Government Pleader,Complainant
against,"Advocate, (Uttar Pradesh) against the Editor",Complainant
against,"Advocate, Hon. Secretary, SSKS Foundation",Complainant
against,"Advocate, Hon. Secretary, SSKS Foundation",Complainant
against,"Advocate, Secretary, Bar Association",Complainant
against,"Advocate, Secretary, Bar Association",Complainant
against,"Advocate, Supreme Court of India",Complainant
against,"AGM (HR), Central Electronics Ltd.",Complainant
against,"Air Marshal, AVSM",Complainant
against,"Area Manager, Food Corporation of India",Complainant
against,"Area Manager, Food Corporation of India",Complainant
against,"Assistant Director, Directorate of Translation",Complainant
against,"Assistant Director, O/o the Post Master General",Complainant
against,"Assistant Director,Infor-mation & Public Relations Depart-ment",Complainant
against,Assistant General Secretary,Complainant
against,Assistant Information Director,Complainant
against,"Assistant Manager (Law), State Bank of India, Zonal Office",Complainant
against,"Assistant Manager- Legal, Lokmat Media Ltd. Nagpur (Maharashtra) against the State Editor",Complainant
against,"Assistant Store Keeper, Jodhpur Vidhut Vitran Nigam Ltd.",Complainant
against,Assistant Teacher,Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,"Associate Professor, Department of Community Medicine & Public Health, King George's Medical University",Complainant
against,Asstt. Commercial Tax Officer,Complainant
against,Bhartiya Red Cross Society,Complainant
against,Bihar Institute of Technology,Complainant
against,Bihar Institute of Technology,Complainant
against,Booking Clerk,Complainant
against,Branch Manager Bank Pirari,Complainant
against,"Branch Manager, Bank of Baroda",Complainant
against,"Branch Manager, State Bank of India",Complainant
against,Cantonment Executive Officer,Complainant
against,Chairman  Desh Bhagat Group of Institutes,Complainant
against,"Chairman, Degree College",Complainant
against,"Chairman, IR & AA",Complainant
against,"Chairman, People Action Justice for All Foundation",Complainant
against,"Chairman, Sangamner Bhog Sahakari Sakhar Karkhana",Complainant
against,"Chairman, Sudarshan CHS Ltd.",Complainant
against,"Chairman, Swami Pranavananda Journalism Trust of India",Complainant
against,"Chairperson, National Dairy Research Institute",Complainant
against,Chief,Complainant
against,"Chief Adviser, Research Association, Kumaun University",Complainant
